	levofloxacin	imipenem	amikacin	ciprofloxacin	ceftazidime	cefepime	meropenem
287.1116	0	2	0	2	2	2	0
287.1117	0	2	0	2	2	2	0
287.1118	0	2	0	2	2	2	0
287.1120	0	2	0	2	2	2	0
287.1121	0	2	0	2	2	2	0
287.1122	0	2	0	2	2	2	1
287.1129	0	2	2	2	2	2	0
287.1137	0	2	0	2	2	2	2
287.1149	0	2	0	2	2	2	1
287.1154	0	2	0	2	2	2	1
287.1155	0	2	0	2	2	2	0
287.1157	0	2	0	2	2	2	0
287.1161	0	2	0	2	2	2	2
287.1167	0	2	0	2	2	2	0
287.1168	0	2	0	2	2	2	1
287.1170	0	2	0	2	2	2	0
287.1173	0	2	0	2	2	2	0
287.1174	0	2	0	2	2	2	0
287.1175	0	2	0	2	2	2	0
287.1177	0	2	0	2	2	2	0
287.1186	0	2	0	2	2	2	0
287.1187	0	2	0	2	2	2	0
287.1189	0	2	0	2	2	2	0
287.1190	0	2	0	2	2	2	0
287.1191	0	2	0	2	2	2	0
287.1193	0	2	0	2	2	2	0
287.1194	0	2	0	2	2	2	0
287.1197	0	2	0	2	2	2	1
287.1199	0	2	0	2	2	2	1
287.1201	0	2	0	2	2	2	0
287.1205	0	2	0	2	2	2	1
287.1207	0	2	0	2	2	2	0
287.1217	0	2	1	2	2	2	0
287.1218	0	2	1	2	2	2	0
287.1222	0	2	1	2	2	2	0
287.1228	0	2	0	2	2	2	0
287.1229	0	2	0	2	2	2	0
287.1231	0	2	0	2	2	2	0
287.1242	0	2	0	2	2	2	0
287.1247	0	2	2	2	2	2	1
287.1248	0	2	1	2	2	2	0
287.1250	0	2	0	2	2	2	0
287.1301	0	2	0	2	2	2	0
287.5689	0	1	0	0	1	1	1
287.5703	0	1	0	0	1	1	1
287.5751	0	1	0	0	1	1	1
287.5969	0	2	0	0	0	0	0
287.7784	0	1	0	0	0	0	1
287.7788	0	0	0	0	0	0	0
287.7789	0	2	0	0	0	0	0
287.7792	0	1	0	0	1	1	1
287.7796	0	0	0	0	0	0	0
287.7799	0	1	0	0	1	1	1
287.7801	0	0	0	0	0	0	0
287.7802	0	0	0	2	0	0	0
287.7804	0	1	0	0	0	0	2
287.7807	0	1	0	0	0	1	1
287.7809	0	0	0	0	0	0	0
287.7810	0	0	0	0	0	0	0
287.7813	0	0	0	0	0	0	0
287.7817	0	1	0	0	0	0	0
287.7818	0	0	0	0	0	0	0
287.7819	0	0	0	0	2	0	0
287.7820	0	1	0	0	0	0	1
287.7821	0	1	0	0	0	0	1
287.7822	0	0	0	0	0	0	0
287.7825	0	0	0	0	0	0	0
287.7826	0	0	0	0	0	0	0
287.7829	0	1	0	0	0	0	0
287.7834	0	0	0	0	0	0	0
287.7835	0	1	0	0	2	0	1
287.7836	0	0	0	1	2	0	0
287.7837	0	0	0	0	0	0	0
287.7839	0	1	0	0	0	0	1
287.7841	0	0	0	0	0	0	0
287.7843	0	1	0	0	0	0	1
287.7845	0	0	0	0	0	0	0
287.7847	0	0	0	0	0	0	0
287.7849	0	1	0	0	0	0	2
287.7852	0	1	0	0	2	0	1
287.7854	0	1	0	0	0	0	2
287.7855	0	2	0	0	0	0	1
287.7857	0	1	0	0	0	0	1
287.7858	0	0	0	0	0	0	0
287.7861	0	1	0	0	0	0	2
287.7862	0	0	0	0	0	0	0
287.8029	0	0	0	0	0	0	0
287.8030	0	0	0	0	0	0	0
287.8034	0	0	0	0	0	0	0
287.846	0	2	0	2	2	2	0
287.847	0	2	0	2	2	2	1
287.8486	0	2	0	0	0	2	1
287.8489	0	2	0	0	1	2	0
287.848	0	2	0	2	2	2	1
287.8490	0	2	0	0	1	1	1
287.8495	0	2	1	2	1	1	1
287.8497	0	2	0	0	0	1	1
287.8498	0	2	0	0	1	1	1
287.849	0	2	0	2	2	2	1
287.8501	0	2	0	1	1	1	1
287.8504	0	2	0	0	0	0	0
287.8505	0	2	0	0	0	0	0
287.850	0	2	0	2	2	2	0
287.8513	0	1	0	0	0	0	1
287.8517	0	1	0	0	0	0	0
287.8518	0	0	0	0	0	0	0
287.851	0	2	0	2	2	2	0
287.8526	0	1	0	0	0	0	0
287.852	0	2	0	2	2	2	0
287.8532	0	0	0	0	2	0	0
287.8535	0	1	0	0	0	0	2
287.8537	0	0	0	0	0	0	0
287.8539	0	0	0	0	0	0	0
287.8541	0	0	0	0	0	0	0
287.8542	0	0	0	2	0	0	0
287.856	0	2	0	2	2	2	0
287.857	0	2	0	2	2	2	0
287.859	0	2	0	2	2	2	0
287.860	0	2	0	2	2	2	0
287.863	0	2	0	2	2	2	0
287.865	0	2	0	2	2	2	0
287.866	0	2	0	2	2	2	0
287.868	0	2	0	2	2	2	0
287.869	0	2	0	2	2	2	0
287.870	0	2	0	2	2	2	2
287.873	0	2	0	2	2	2	0
287.874	0	2	0	2	2	2	0
287.875	0	2	0	2	2	2	0
287.876	0	2	0	2	2	2	0
287.877	0	2	0	2	2	2	0
287.879	0	2	0	2	2	2	0
287.880	0	2	0	2	2	2	2
287.881	0	2	0	2	2	2	0
287.882	0	2	0	2	2	2	0
287.885	0	2	0	2	2	2	0
287.886	0	2	0	2	2	2	0
287.887	0	2	0	2	2	2	0
287.890	0	2	0	2	2	2	0
287.891	0	2	0	2	2	2	0
287.892	0	2	0	2	2	2	0
287.893	0	2	0	2	2	2	0
287.894	0	2	0	2	2	2	0
287.899	0	2	0	2	2	2	0
287.901	0	2	0	2	2	2	0
287.904	0	2	0	2	2	2	0
287.905	0	2	0	2	2	2	0
287.906	0	2	0	2	2	2	0
287.907	0	2	0	2	2	2	2
287.914	0	2	0	2	2	2	0
287.917	0	2	0	2	2	2	1
287.919	0	2	0	2	2	2	0
