	ciprofloxacin	cefoxitin	tobramycin	ceftazidime	aztreonam	cefepime	amoxicillin	trimethoprim	piperacillin_tazobactam	gentamicin	cefotaxime	cefuroxime	trimethoprim_sulfamethoxazole	ampicillin
562.42731	1	0	1	1	2	1	2	2	2	1	2	2	0	1
562.42733	1	0	0	0	2	0	2	2	0	0	2	2	0	1
562.42734	1	1	1	1	2	1	2	2	2	0	2	2	0	1
562.42735	1	2	0	1	2	0	2	2	0	0	2	2	1	1
562.42736	1	0	0	1	2	0	2	2	0	0	2	2	0	1
562.42737	1	2	0	0	2	0	2	2	0	0	2	2	0	1
562.42738	1	1	1	1	2	1	2	2	2	0	2	2	0	1
562.42740	1	2	0	0	2	0	2	2	0	0	2	2	0	1
562.42741	1	1	1	1	2	0	2	2	1	0	2	2	1	1
562.42742	1	2	0	1	2	0	2	2	0	0	2	2	0	1
562.42744	1	0	0	0	2	0	2	2	0	0	2	2	1	1
562.42745	1	1	2	1	2	0	2	2	2	2	2	2	1	1
562.42747	1	2	2	1	2	1	2	2	0	0	2	2	1	1
562.42749	1	1	1	1	2	1	2	2	2	0	2	2	1	1
562.42750	1	0	1	1	2	0	2	2	0	1	2	2	0	1
562.42751	1	2	0	0	2	0	2	2	0	0	2	2	1	1
562.42753	1	2	0	0	2	0	2	2	0	0	2	2	1	1
562.42755	1	1	1	1	1	1	2	2	2	0	2	2	1	2
562.42756	1	0	0	1	2	2	2	2	0	0	2	2	1	1
562.42758	1	0	0	0	2	1	2	2	0	0	2	2	0	1
562.42759	1	2	2	2	2	0	2	2	2	0	2	2	1	2
562.42761	1	2	0	0	0	0	2	2	0	0	0	2	0	1
562.42762	1	2	0	1	0	0	2	2	0	0	0	2	1	1
562.42763	1	2	2	2	1	0	2	2	0	1	2	2	1	1
562.42764	1	2	2	2	1	0	2	2	0	1	2	2	1	1
562.42765	1	2	2	2	1	2	2	2	0	1	2	2	1	1
562.42766	1	2	2	2	1	0	2	2	0	0	2	2	1	1
562.42767	1	2	2	2	1	2	2	2	0	1	2	2	0	1
