	chloramphenicol	erythromycin	penicillin	trimethoprim_sulfamethoxazole	tetracycline
1313.10087	2	2	2	1	2
1313.10089	2	2	2	1	2
1313.10090	2	2	2	1	2
1313.10092	2	2	2	1	2
1313.10094	2	2	2	1	2
1313.10095	2	2	2	1	2
1313.10098	2	2	2	1	2
1313.10099	2	2	2	1	2
1313.10101	2	2	2	1	2
1313.10102	2	2	2	1	2
1313.10105	2	2	2	1	2
1313.10107	2	2	2	1	2
1313.10108	2	2	2	1	2
1313.10109	2	2	2	1	2
1313.10110	2	2	2	1	2
1313.10111	2	2	2	1	2
1313.10112	2	2	2	1	2
1313.10113	2	2	2	1	2
1313.10115	2	2	2	1	2
1313.10116	2	2	2	1	2
1313.10117	2	2	2	1	2
1313.10119	2	2	2	1	2
1313.10120	2	2	2	1	2
1313.10123	2	2	2	1	2
1313.10124	2	2	2	1	2
1313.10126	2	2	2	1	2
1313.10127	2	2	2	1	2
1313.10129	2	2	2	1	2
1313.10131	2	2	2	1	2
1313.10132	2	2	2	1	2
1313.10133	2	2	2	1	2
1313.10135	2	2	2	1	2
1313.10136	2	2	2	1	2
1313.10137	2	2	2	1	2
1313.10138	2	2	2	1	2
1313.10139	2	2	2	1	2
1313.10141	2	2	2	1	2
1313.10142	2	2	2	1	2
1313.10143	2	2	2	1	2
1313.10144	2	2	2	1	2
1313.10145	2	2	2	1	2
1313.10146	2	2	2	1	2
1313.10147	2	2	2	1	2
1313.10148	2	2	2	1	2
1313.10149	2	2	2	1	2
1313.10151	2	2	2	1	2
1313.10152	2	2	2	1	2
1313.10153	2	2	2	1	2
1313.10154	2	2	2	1	2
1313.10156	2	2	2	1	2
1313.10157	2	2	2	1	2
1313.10158	2	2	2	1	2
1313.10159	2	2	2	1	2
1313.10160	2	2	2	1	2
1313.10161	2	2	2	1	2
1313.10162	2	2	2	1	2
1313.10163	2	2	2	1	2
1313.10166	2	2	2	1	2
1313.10167	2	2	2	1	2
1313.10168	2	2	2	1	2
