	tetracycline	trimethoprim_sulfamethoxazole	clindamycin	ciprofloxacin	methicillin	oxacillin	gentamicin	erythromycin	penicillin
1280.8159	0	2	2	0	0	2	0	0	0
1280.8160	0	2	2	1	1	2	0	1	1
1280.8161	0	2	2	0	0	2	0	1	0
1280.8162	0	2	2	0	0	2	0	0	1
1280.8166	0	2	0	1	1	2	0	0	1
1280.8167	0	2	0	0	0	2	0	0	1
1280.8168	0	2	0	0	0	2	0	0	1
1280.8173	0	2	1	1	1	2	0	1	1
1280.8175	0	2	0	0	0	2	0	0	1
1280.8176	0	2	0	0	0	2	0	0	0
1280.8177	0	2	0	0	0	2	0	0	1
1280.8178	0	2	0	0	0	2	0	0	1
1280.8179	0	2	0	0	0	2	0	0	1
1280.8181	0	2	2	0	0	2	0	0	1
1280.8185	0	2	0	0	0	2	0	0	0
1280.8186	0	2	0	0	0	2	0	0	1
1280.8187	0	2	1	0	0	2	0	1	1
1280.8188	0	2	2	1	1	2	0	1	1
1280.8190	0	2	0	0	0	2	0	0	1
1280.8193	0	2	0	0	0	2	0	0	1
1280.8195	0	2	0	0	0	2	0	0	1
1280.8196	0	2	0	0	0	2	0	0	1
1280.8198	0	2	0	0	0	2	0	0	1
1280.8202	0	2	0	0	0	2	0	0	1
1280.8203	0	2	0	1	0	2	0	0	1
1280.8206	0	2	0	0	0	2	0	0	1
1280.8208	0	2	0	0	0	2	0	0	1
1280.8209	0	2	1	0	0	2	0	1	1
1280.8210	0	2	1	0	0	2	0	1	1
1280.8211	0	2	0	1	0	2	0	0	1
1280.8212	0	2	0	0	0	2	0	0	1
1280.8213	0	2	0	0	0	2	0	0	1
1280.8217	0	2	0	0	0	2	0	0	1
1280.8219	0	2	2	1	1	2	0	1	1
1280.8221	0	2	0	0	0	2	0	0	1
1280.8222	0	2	0	0	0	2	0	0	0
1280.8224	0	2	1	1	1	2	0	1	1
1280.8229	0	2	2	0	0	2	0	0	1
1280.8230	0	2	2	0	0	2	0	0	1
1280.8231	0	2	2	0	0	2	0	0	1
1280.8232	0	2	2	0	0	2	0	0	1
1280.8233	0	2	2	0	0	2	0	0	1
1280.8234	0	2	2	0	0	2	0	0	0
1280.8235	0	2	2	0	0	2	0	0	1
1280.8237	0	2	2	0	0	2	0	0	1
1280.8238	0	2	2	0	0	2	0	0	0
1280.8239	0	2	2	0	0	2	0	0	1
1280.8242	0	2	2	1	1	2	0	1	1
1280.8245	0	2	2	0	0	2	0	0	1
1280.8246	0	2	2	0	0	2	0	0	1
1280.8249	0	2	2	0	0	2	0	0	1
1280.8254	0	2	2	0	0	2	0	0	1
1280.8255	0	2	2	0	0	2	0	0	1
1280.8256	0	2	2	0	0	2	0	0	1
1280.8259	0	2	2	1	1	2	0	0	1
1280.8260	0	2	2	0	0	2	0	0	1
1280.8261	0	2	2	0	0	2	0	0	1
1280.8262	0	2	2	0	0	2	0	0	1
1280.8263	0	2	2	0	0	2	0	0	0
1280.8264	0	2	2	0	0	2	0	0	1
1280.8265	0	2	2	0	0	2	0	0	1
1280.8270	0	2	2	0	0	2	0	0	1
1280.8271	0	2	2	0	0	2	0	1	1
1280.8276	0	2	2	0	0	2	1	0	1
1280.8281	0	2	2	0	0	2	0	0	0
1280.8282	0	2	2	0	0	2	0	0	1
1280.8283	0	2	2	0	0	2	0	0	1
1280.8286	0	2	2	0	0	2	0	0	1
1280.8289	0	2	2	0	0	2	0	0	1
1280.8290	0	2	2	0	0	2	0	0	1
1280.8291	0	2	2	0	0	2	0	0	1
1280.8293	0	2	2	0	0	2	0	1	1
1280.8294	0	2	2	0	0	2	0	0	1
1280.8298	0	2	2	0	0	2	0	0	1
1280.8299	0	2	2	0	0	2	0	0	1
