ARO Accession	CVTERM ID	ARO Name	PMID	DOI	ISBN
ARO:3001778	38178	OXA-232	23305656
ARO:3000545	36684	MacAB-TolC	16359323
ARO:3000504	36643	golS	20807206;17919284
ARO:3000465	36604	ole glycosyltransferase	15984838;9680207;17376874
ARO:3001293	37692	desR	14674753;18635010;23225731;9770448
ARO:3001824	38224	ACT-5	23643553
ARO:3000493	36632	Mutant porin ompF with reduced permeability to beta-lactams	10639355;11454211
ARO:3003041	39475	Streptococcus pneumoniae PBP1a conferring resistance to amoxicillin	18394970
ARO:3003563	40170	RCP-1	2788410
ARO:3003564	40172	EXO-1	1540134
ARO:3000157	36296	rifamycin antibiotic	15700959
ARO:3003307	39891	Salmonella serovars gyrB conferring resistance to fluoroquinolones	19104017
ARO:3002748	39182	QnrB33	21844311
ARO:3002484	38884	LRA-13	18843302
ARO:3000168	36307	tet(D)	15837373
ARO:3002505	38905	PDC-6	19258272
ARO:3001809	38209	OXA-209	21820820
ARO:3002036	38436	CMY-25	19523051
ARO:3002037	38437	CMY-26	17720829
ARO:3000953	37333	TEM-86	15855509
ARO:3000952	37332	TEM-85	15855509
ARO:3000723	37103	cycloserine sensitive D-alanine synthetase	14479178
ARO:3000261	36400	sigma factor conferring resistance to rifampin	9862449
ARO:3000391	36530	norA	8431010;12730173;15774883
ARO:3002998	39432	CblA beta-lactamase	7985999
ARO:3000160	36299	blaI	12654668
ARO:3001770	38170	OXA-43	12356787
ARO:3001781	38181	OXA-47	14693513
ARO:3001792	38192	OXA-62	16569848
ARO:3001924	38324	CTX-M-63	21034262
ARO:3002157	38557	FOX-3	9527810
ARO:3002158	38558	FOX-4	10952615
ARO:3002120	38520	CMY-108	24500191
ARO:3001219	37618	elfamycin antibiotic	12370016;16876786
ARO:3001220	37619	factumycin	7166535
ARO:3001221	37620	josamycin	5482762
ARO:3001205	37586	BRP(MBL)	18791008;22290943
ARO:3001206	37587	antibiotic inactivation by sequestration	18791008
ARO:3001228	37627	carbomycin	24542077
ARO:3001970	38370	CTX-M-110	21859815
ARO:3000946	37326	TEM-79	10991849
ARO:3000951	37331	TEM-84	10991849
ARO:3002356	38756	NDM-6	22526013
ARO:3000503	36642	AcrEF-TolC	12937021;16267305;1720861;18984645;8647368
ARO:3002481	38881	AER-1	3890725
ARO:3001664	38064	OXA-203	21289143
ARO:3001264	37663	heneicomycin	468738;1917698
ARO:3002343	38743	GES-14	20805394
ARO:3000234	36373	glycopeptide resistance gene cluster	16323116
ARO:3001420	37820	OXA-25	11158758
ARO:3001425	37825	OXA-31	11353602
ARO:3000508	36647	gadX	18297445
ARO:3000510	36649	Staphylococcus aureus mupB conferring resistance to mupirocin	22252810
ARO:3000494	36633	determinant of resistance to glycopeptide antibiotics	16323116
ARO:3001431	37831	OXA-37	12523622
ARO:3001233	37632	pikromycin	14862824
ARO:3000666	37010	sparfloxacin	1317145
ARO:3001464	37864	OXA-159	26349828
ARO:3002595	38995	AAC(6')-IIb	8385262
ARO:3003511	40113	Escherichia coli soxS with mutation conferring antibiotic resistance	25921515
ARO:3003515	40117	Mycobacteroides chelonae 16S rRNA mutation conferring resistance to kanamycin A	9607835
ARO:3003539	40141	Mycolicibacterium smegmatis 16S rRNA (rrsA) mutation conferring resistance to hygromycin B	12709313
ARO:3003540	40142	Mycolicibacterium smegmatis 16S rRNA (rrsB) mutation conferring resistance to hygromycin B	12709313
ARO:3003541	40143	Mycolicibacterium smegmatis 16S rRNA (rrsB) mutation conferring resistance to streptomycin	11557484
ARO:3003479	40072	tetR	3062183
ARO:3003446	40039	antibiotic resistant iniA	15752203
ARO:3003448	40041	Mycobacterium tuberculosis iniA mutant conferring resistance to ethambutol	12654653;10639358
ARO:3003449	40042	Antibiotic resistant iniC	15752203
ARO:3003451	40044	Mycobacterium tuberculosis iniC mutant conferring resistance to ethambutol	12654653;16272473;10639358
ARO:3003517	40119	Mycobacteroides chelonae 16S rRNA mutation conferring resistance to gentamicin C	9607835
ARO:3003484	40086	Chlamydophila psittaci 16S rRNA mutation conferring resistance to aminoglycosides	15980362
ARO:3003485	40087	Chlamydophila psittaci 16S rRNA mutation conferring resistance to spectinomycin	15980362
ARO:3003492	40094	Pasteurella multocida 16S rRNA mutation conferring resistance to aminoglycosides	17371823
ARO:3003493	40095	Pasteurella multocida 16S rRNA mutation conferring resistance to spectinomycin	17371823
ARO:3003494	40096	Neisseria gonorrhoeae 16S rRNA mutation conferring resistance to aminoglycosides	10770780
ARO:3003495	40097	Neisseria gonorrhoeae 16S rRNA mutation conferring resistance to spectinomycin	10770780
ARO:3003496	40098	Neisseria meningitidis 16S rRNA mutation conferring resistance to aminoglycosides	10770780
ARO:3003497	40099	Neisseria meningitidis 16S rRNA mutation conferring resistance to spectinomycin	10770780
ARO:3003498	40100	Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline derivative	9661007
ARO:3003499	40101	Cutibacterium acnes 16S rRNA mutation conferring resistance to tetracycline	9661007
ARO:3003501	40103	Borrelia burgdorferi 16S rRNA mutation conferring resistance to aminoglycosides	16436695
ARO:3003502	40104	Borreliella burgdorferi 16S rRNA mutation conferring resistance to spectinomycin	16436695
ARO:3003503	40105	Borreliella burgdorferi 16S rRNA mutation conferring resistance to kanamycin	16436695
ARO:3003504	40106	Borreliella burgdorferi 16S rRNA mutation conferring resistance to gentamicin	16436695
ARO:3003507	40109	Salmonella enterica serovar Typhimurium 16S rRNA mutation conferring resistance to aminoglycosides	12402084
ARO:3003508	40110	Salmonella enterica 16S rRNA mutation conferring resistance to spectinomycin	12402084
ARO:3003509	40111	Helicobacter pylori 16S rRNA mutation conferring resistance to tetracycline derivative	11914344;12435699
ARO:3003510	40112	Helicobacter pylori 16S rRNA mutation conferring resistance to tetracycline	20035020;12183259;11914344;12435699
ARO:3003055	39489	smeD	11709330
ARO:3000498	36637	ErmF	26219215
ARO:3002534	38934	AAC(3)-IIb	1444303;8385262
ARO:0000058	35975	cefazolin	27572414;4790605
ARO:3000057	36196	NDM beta-lactamase	24165671;22078325;21930874;19770275;21393184;21624908;21507902;20705517
ARO:3000059	36198	KPC beta-lactamase	19493866;17441734
ARO:3002413	38813	OXY-6-1	16048960
ARO:3002424	38824	OKP-A-7	16304190
ARO:3000641	36985	cefalexin	4559812
ARO:3000642	36986	cefadroxil	3542485
ARO:3003464	40057	rifamycin-resistant arabinosyltransferase	17846128
ARO:3000172	36311	FosB	24004181;24447055
ARO:3000173	36312	tet(E)	15837373
ARO:3000174	36313	tet(G)	15837373
ARO:3000175	36314	tet(H)	15837373
ARO:3000176	36315	dirithromycin	7683018
ARO:3000177	36316	tet(J)	15837373
ARO:3002409	38809	OXY-3-1	12807183
ARO:3000179	36318	tet(L)	3324958;15837373
ARO:3000180	36319	tetA(P)	14702405;15837373
ARO:3000181	36320	tet(V)	22673307;9687386;15837373
ARO:3002997	39431	LCR-1	1495394
ARO:3000195	36334	tetB(P)	15837373
ARO:3002436	38836	OKP-B-3	16304190
ARO:3002544	38944	AAC(3)-Xa	10639379
ARO:3002441	38841	OKP-B-8	16304190
ARO:3002439	38839	OKP-B-6	15980410
ARO:3000584	36723	quinupristin	15700955;9746015
ARO:3000661	37005	nalidixic acid	18159374
ARO:3000667	37011	demeclocycline	194065
ARO:3000669	37013	virginiamycin M1	15700955
ARO:3000670	37014	pleuromutilin antibiotic	11555289;15554968;16569865;20112168;931799;17360517
ARO:3003235	39819	Mycobacterium abscessus 16S rRNA mutation conferring resistance to aminoglycosides	21652621;9607835
ARO:3000329	36468	sulfamethoxazole	1093654
ARO:3002502	38902	PDC-5	33416461;19258272
ARO:3001709	38109	OXA-182	20884158
ARO:3002726	39160	QnrB12	18086833
ARO:3002460	38860	LEN-10	15215087
ARO:3001678	38078	OXA-237	23439638
ARO:3001687	38087	OXA-316	24247131
ARO:3000443	36582	rifampin glycosyltransferase	22802246;8328779
ARO:3002456	38856	LEN-5	15215087
ARO:3001708	38108	OXA-105	18195058
ARO:3000894	37274	TEM-24	2558614;9925535;1416873
ARO:3000966	37346	TEM-103	12384377
ARO:3001768	38168	OXA-118	11972706
ARO:3002786	39220	QnrB74	26259681
ARO:3002418	38818	OKP-A-1	16304190
ARO:3003005	39439	CfxA4	25460195
ARO:3002539	38939	AAC(3)-IVa	19709289;6318050
ARO:3000622	36966	colistin A	19157746;20818945
ARO:3000734	37114	antibiotic sensitive DNA topoisomerase subunit gyrB	1657531;9293187
ARO:3001297	37696	oleR	9680207
