	isoniazid	rifampin	ethambutol	pyrazinamide	amikacin	capreomycin	ethionamide	kanamycin	ofloxacin	para_aminosalicylic_acid	streptomycin	moxifloxacin	prothionamide	cycloserine	rifabutin	pyrazinamide_nicotinamide	nicotinamide
GCA_001380835.1	1	1	1	0	0	0	2	2	1	2	0	0	0	2	2	2	2
GCA_001380975.1	1	1	0	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001380575.1	1	1	1	1	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001382135.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001380355.1	1	1	1	1	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001384435.1	1	0	1	0	2	2	2	2	2	2	0	2	2	2	2	2	2
GCA_001384395.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001385055.1	1	0	0	0	2	2	2	2	2	2	0	2	2	2	2	2	2
GCA_001383495.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001383235.1	1	1	1	1	0	0	2	2	1	2	1	1	1	2	2	2	2
GCA_001383095.1	1	0	1	0	1	1	2	2	0	2	1	2	1	2	2	2	2
GCA_001384095.1	1	1	0	0	0	0	2	2	1	2	1	0	1	2	2	2	2
GCA_001383815.1	1	1	1	1	1	1	2	2	1	2	1	1	1	2	2	2	2
GCA_001323985.1	1	1	0	1	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001379055.1	1	1	0	0	0	0	2	2	0	2	0	0	0	2	2	2	2
GCA_001379235.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001378615.1	1	0	0	0	2	2	2	2	2	2	0	2	2	2	2	2	2
GCA_001378515.1	1	1	0	0	0	0	2	2	0	2	0	0	0	2	2	2	2
GCA_001322765.1	1	0	0	1	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001380095.1	1	1	1	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001385915.1	1	1	1	0	1	1	2	2	0	2	1	0	2	2	2	2	2
GCA_001385575.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001385735.1	1	1	0	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001385395.1	1	1	1	0	0	0	2	2	1	2	1	1	1	2	2	2	2
GCA_001385435.1	1	1	0	1	0	0	2	2	0	2	0	0	1	2	2	2	2
GCA_001382855.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001382735.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001382595.1	1	1	1	1	0	0	2	2	1	2	1	1	1	2	2	2	2
GCA_001380155.1	1	1	1	0	0	1	2	2	0	2	1	2	0	2	2	2	2
GCA_001380015.1	1	1	1	1	0	0	2	2	1	2	1	1	0	2	2	2	2
GCA_001378935.1	1	0	1	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001378795.1	1	1	0	1	1	1	2	2	0	2	1	0	0	2	2	2	2
GCA_001381175.1	1	0	1	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001382975.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001323945.1	1	1	1	1	0	0	2	2	1	2	1	1	1	2	2	2	2
GCA_001383715.1	1	1	1	1	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001383595.1	1	1	1	1	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001324025.1	1	1	0	1	0	0	2	2	1	2	1	1	0	2	2	2	2
GCA_001384835.1	1	1	1	0	0	0	2	2	1	2	1	1	1	2	2	2	2
GCA_001385035.1	1	1	0	1	0	1	2	2	0	2	1	0	0	2	2	2	2
GCA_001380315.1	1	1	0	0	0	0	2	2	1	2	1	1	1	2	2	2	2
GCA_001381715.1	1	1	0	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001323445.1	1	1	1	0	1	1	2	2	0	2	1	0	0	2	2	2	2
GCA_001381655.1	1	1	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001381055.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001381115.1	1	1	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001385675.1	1	1	1	1	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001385475.1	1	1	0	0	1	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001385375.1	1	1	0	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001385335.1	1	1	1	1	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001385115.1	1	1	1	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001378855.1	1	1	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001378995.1	1	1	0	0	1	1	2	2	0	2	1	0	1	2	2	2	2
GCA_001323545.1	1	1	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001381975.1	1	1	1	1	1	1	2	2	0	2	1	0	1	2	2	2	2
GCA_001382075.1	1	1	0	1	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001381595.1	1	1	0	0	0	0	2	2	1	2	0	1	1	2	2	2	2
GCA_001323685.1	1	0	0	1	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001382255.1	1	1	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001382355.1	1	1	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001382955.1	1	1	1	0	0	0	2	2	1	2	1	1	1	2	2	2	2
