	methicillin	clindamycin	erythromycin	penicillin	ciprofloxacin	gentamicin	tetracycline	cefoxitin	levofloxacin	oxacillin	trimethoprim_sulfamethoxazole	moxifloxacin	penicillin_clavulanic_acid
GCA_000638695.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000684535.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000638675.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000638715.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000638755.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000638815.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000638895.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000639895.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000639915.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000684395.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000684375.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000639935.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000637275.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000637335.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000637315.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000637355.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000637375.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000637255.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000637475.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000684715.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000637435.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000637415.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000647355.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000647395.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000647375.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000682835.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000647295.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000638975.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000682795.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000638995.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000647415.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000638415.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000636755.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000636775.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000637855.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000637835.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000637935.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000637955.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000636255.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000636295.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000636315.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000684315.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000684275.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640535.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640555.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640575.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640595.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640615.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640635.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000684255.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640655.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640675.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640695.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640715.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640735.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640755.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640775.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640795.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640815.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640835.1	1	2	2	2	2	2	2	2	2	2	2	2	2
