	cefixime	penicillin	azithromycin	ciprofloxacin	tetracycline	erythromycin
GCA_041997125.1	0	1	1	2	1	2
GCA_041997085.1	0	1	0	0	0	2
GCA_041998365.1	0	1	0	0	0	2
GCA_041998385.1	0	1	0	0	1	2
GCA_041998415.1	0	1	0	2	1	2
GCA_041998405.1	0	1	0	2	0	2
GCA_041998445.1	0	1	0	2	1	2
GCA_041998465.1	0	1	0	2	0	2
GCA_041998485.1	0	1	0	0	0	2
GCA_041998505.1	0	1	0	0	0	2
GCA_041998545.1	0	1	0	0	0	2
GCA_041998525.1	0	1	1	2	1	2
GCA_042020415.1	0	1	0	0	1	2
GCA_042020355.1	0	1	0	0	0	2
GCA_042020315.1	0	1	0	0	0	2
GCA_042020295.1	0	1	0	0	1	2
GCA_042020335.1	0	1	0	0	0	2
GCA_042020275.1	0	1	0	0	1	2
GCA_042020235.1	0	1	0	0	0	2
GCA_042020255.1	0	1	0	0	0	2
GCA_042020215.1	0	1	0	0	0	2
GCA_042020195.1	0	1	0	0	0	2
GCA_042021635.1	0	1	1	2	1	2
GCA_042021615.1	0	1	0	2	1	2
GCA_042021575.1	0	1	0	2	1	2
GCA_042021595.1	0	1	0	0	1	2
GCA_042021535.1	0	1	0	0	0	2
GCA_042021555.1	0	1	0	0	1	2
GCA_042021495.1	0	1	0	0	0	2
GCA_042021515.1	0	1	1	2	1	2
GCA_042021655.1	0	1	0	0	0	2
GCA_042021675.1	0	1	0	2	1	2
GCA_041996605.1	0	1	0	0	0	2
GCA_041996565.1	0	1	0	0	0	2
GCA_041996625.1	0	1	0	2	1	2
GCA_041996685.1	0	1	0	2	1	2
GCA_041996585.1	0	1	0	0	1	2
GCA_041996505.1	0	1	0	0	0	2
GCA_041996545.1	0	1	0	2	1	2
GCA_041996525.1	0	1	0	0	0	2
GCA_041996645.1	0	1	0	0	1	2
GCA_041996665.1	0	1	0	0	0	2
GCA_041997765.1	0	1	0	2	0	2
GCA_041997785.1	0	1	0	2	1	2
GCA_041997805.1	0	1	0	0	0	2
GCA_041997845.1	0	1	0	0	0	2
GCA_041997665.1	0	1	0	0	1	2
GCA_041997705.1	0	1	0	0	0	2
GCA_041997745.1	0	1	1	2	1	2
GCA_041997725.1	0	1	0	2	1	2
GCA_041997625.1	0	1	0	0	1	2
GCA_041997645.1	0	1	0	2	0	2
GCA_042019425.1	0	1	0	0	0	2
GCA_042019465.1	0	1	0	0	0	2
GCA_042019445.1	0	1	0	2	0	2
GCA_041997325.1	0	1	1	0	0	2
GCA_042019565.1	0	1	0	0	0	2
GCA_042019525.1	0	1	0	2	1	2
GCA_042019505.1	0	1	0	2	1	2
GCA_042019485.1	0	1	1	0	1	2
GCA_041997065.1	0	1	0	0	1	2
GCA_041997105.1	0	1	1	0	1	2
GCA_042021455.1	0	1	0	0	0	2
GCA_042021475.1	0	1	0	0	1	2
GCA_042021795.1	0	1	0	2	0	2
GCA_042021735.1	0	1	0	2	0	2
GCA_042021435.1	0	1	0	0	1	2
GCA_042021375.1	0	1	0	0	1	2
GCA_042021395.1	0	1	0	0	0	2
GCA_042021325.1	0	1	1	2	1	2
GCA_042019285.1	0	1	0	2	1	2
GCA_042019265.1	0	1	0	0	0	2
GCA_042019305.1	0	1	0	0	0	2
GCA_042019325.1	0	1	0	0	0	2
GCA_042019345.1	0	1	0	2	1	2
GCA_042019365.1	0	1	0	0	0	2
GCA_042019385.1	0	1	0	0	0	2
GCA_042019405.1	0	1	0	0	0	2
GCA_041997305.1	0	1	0	0	1	2
GCA_042014095.1	0	1	0	0	1	2
GCA_042014045.1	0	1	0	0	0	2
GCA_041997685.1	0	1	1	2	1	2
GCA_041997585.1	0	1	0	0	0	2
GCA_041997565.1	0	1	0	0	0	2
GCA_041997545.1	0	1	0	2	1	2
GCA_041997605.1	0	1	0	0	0	2
GCA_042019605.1	0	1	0	2	1	2
