	chloramphenicol	trimethoprim_sulfamethoxazole	ampicillin	nalidixic_acid	ciprofloxacin	amoxicillin_clavulanic_acid	ceftriaxone	azithromycin	sulfisoxazole	cefoxitin	gentamicin	tetracycline	ceftiofur	kanamycin	enrofloxacin	streptomycin	ceftazidime	colistin	ampicillin_sulbactam	cefotaxime	spectinomycin	sulfamethoxazole	trimethoprim	cefazolin	sulphathiazole
GCA_029495015.1	1	0	0	0	0	0	0	2	0	1	0	0	1	0	2	0	2	2	2	2	2	2	2	2	2
GCA_029494975.1	1	0	1	0	0	1	0	2	1	0	0	0	0	0	2	0	2	2	2	2	2	2	2	2	2
GCA_029494955.1	1	0	0	0	1	0	0	2	0	1	0	1	1	0	2	0	2	2	2	2	2	2	2	2	2
GCA_029494835.1	1	0	0	0	0	0	0	2	0	1	0	0	1	0	2	0	2	2	2	2	2	2	2	2	2
GCA_029494815.1	1	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	2	2	2	2	2	2	2	2	2
GCA_029494775.1	1	0	0	0	1	0	0	2	0	1	0	1	1	0	2	0	2	2	2	2	2	2	2	2	2
GCA_001478785.1	1	0	1	0	0	1	1	0	1	1	1	1	1	0	2	1	2	2	2	2	2	2	2	2	2
GCA_001931595.1	1	0	1	1	0	0	1	0	0	0	0	1	1	2	2	0	2	2	2	1	2	2	2	2	2
GCA_008160385.1	1	1	0	0	0	0	0	1	1	0	0	1	2	2	2	0	2	2	2	2	2	2	2	2	2
GCA_008260525.1	1	1	1	0	1	0	0	0	1	0	0	1	2	2	2	0	2	2	2	2	2	2	2	2	2
GCA_008360665.1	1	0	1	0	0	1	1	0	1	1	0	1	2	2	2	1	2	2	2	2	2	2	2	2	2
GCA_008379305.1	1	0	1	1	1	0	1	0	1	0	0	1	2	2	2	1	2	2	2	2	2	2	2	2	2
GCA_008512615.1	1	0	1	0	0	1	0	0	1	0	0	1	2	2	2	1	2	2	2	2	2	2	2	2	2
GCA_008678935.1	1	0	1	0	0	1	1	0	1	1	0	1	2	2	2	1	2	2	2	2	2	2	2	2	2
GCA_008784205.1	1	0	1	0	0	1	0	0	0	0	0	1	2	2	2	1	2	2	2	2	2	2	2	2	2
GCA_008793465.1	1	1	0	1	1	0	0	0	1	0	0	1	2	2	2	1	2	2	2	2	2	2	2	2	2
GCA_008804415.1	1	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	2	2	2	2	2	2	2	2	2
GCA_008826405.1	1	0	0	0	0	0	0	0	1	0	0	0	2	2	2	0	2	2	2	2	2	2	2	2	2
GCA_009151185.1	1	1	1	0	1	0	0	1	1	0	0	1	2	2	2	1	2	2	2	2	2	2	2	2	2
GCA_009228185.1	1	0	1	0	0	0	0	0	0	0	0	1	2	2	2	0	2	2	2	2	2	2	2	2	2
GCA_009344895.1	1	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	2	2	2	2	2	2	2	2	2
GCA_011623685.1	1	0	1	0	0	1	1	0	1	1	0	1	2	2	2	1	2	2	2	2	2	2	2	2	2
GCA_011549255.1	1	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	2	2	2	2	2	2	2	2	2
GCA_011544155.1	1	1	1	1	1	1	0	1	1	0	0	0	2	2	2	1	2	2	2	2	2	2	2	2	2
GCA_010852105.1	1	0	1	0	0	1	0	0	1	0	0	1	2	2	2	1	2	2	2	2	2	2	2	2	2
GCA_010519235.1	1	0	1	0	0	1	0	0	1	0	0	1	2	2	2	1	2	2	2	2	2	2	2	2	2
GCA_011264685.1	1	1	1	1	1	1	1	0	1	1	0	1	2	2	2	1	2	2	2	2	2	2	2	2	2
GCA_010521215.1	1	0	1	0	0	0	0	0	1	0	0	1	2	2	2	0	2	2	2	2	2	2	2	2	2
GCA_010520835.1	1	0	0	0	0	0	0	0	0	1	0	0	2	2	2	0	2	2	2	2	2	2	2	2	2
GCA_010523415.1	1	0	1	0	1	1	0	0	1	0	0	1	2	2	2	1	2	2	2	2	2	2	2	2	2
GCA_010811825.1	1	0	0	0	0	0	0	0	1	0	0	1	2	2	2	1	2	2	2	2	2	2	2	2	2
GCA_011179215.1	1	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	2	2	2	2	2	2	2	2	2
GCA_010834605.1	1	0	1	0	0	1	1	0	1	1	1	1	2	2	2	1	2	2	2	2	2	2	2	2	2
GCA_010463265.1	1	1	1	0	0	1	1	0	1	1	0	1	2	2	2	1	2	2	2	2	2	2	2	2	2
GCA_010866165.1	1	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	2	2	2	2	2	2	2	2	2
GCA_010418365.1	1	0	0	0	0	0	0	0	0	0	0	1	2	2	2	0	2	2	2	2	2	2	2	2	2
GCA_016233385.1	1	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	2	2	2	2	2	2	2	2	2
