	ampicillin	vancomycin	gentamicin	tetracycline	doxycycline	linezolid	streptomycin
GCA_015497935.1	1	1	2	2	2	2	2
GCA_015497735.1	1	1	2	2	2	2	2
GCA_045025775.1	1	0	2	2	2	2	2
GCA_015497655.1	1	0	2	2	2	2	2
GCA_018087425.1	1	1	2	2	2	2	2
GCA_018087385.1	1	1	2	2	2	2	2
GCA_045025635.1	1	0	2	2	2	2	2
GCA_044892445.1	1	0	2	2	2	2	2
GCA_045025615.1	1	0	2	2	2	2	2
GCA_045025595.1	1	0	2	2	2	2	2
GCA_045025575.1	1	0	2	2	2	2	2
GCA_042693615.1	1	0	2	2	2	2	2
GCA_042700105.1	1	0	2	2	2	2	2
GCA_042707815.1	1	0	2	2	2	2	2
GCA_044892365.1	1	0	2	2	2	2	2
GCA_045025455.1	1	0	2	2	2	2	2
GCA_042694115.1	1	0	2	2	2	2	2
GCA_045025435.1	1	0	2	2	2	2	2
GCA_042707825.1	1	0	2	2	2	2	2
GCA_044892385.1	1	0	2	2	2	2	2
GCA_045025395.1	1	0	2	2	2	2	2
GCA_042720515.1	1	0	2	2	2	2	2
GCA_045025415.1	1	0	2	2	2	2	2
GCA_042707755.1	1	0	2	2	2	2	2
GCA_042706415.1	1	0	2	2	2	2	2
GCA_045025375.1	1	0	2	2	2	2	2
GCA_045025355.1	1	0	2	2	2	2	2
GCA_015496635.1	1	0	2	2	2	2	2
GCA_045025315.1	1	0	2	2	2	2	2
GCA_045025335.1	1	0	2	2	2	2	2
GCA_042706395.1	1	0	2	2	2	2	2
GCA_042706375.1	1	0	2	2	2	2	2
GCA_045025295.1	1	0	2	2	2	2	2
GCA_045025275.1	1	0	2	2	2	2	2
GCA_045025255.1	1	0	2	2	2	2	2
GCA_045025195.1	1	0	2	2	2	2	2
GCA_045025235.1	1	0	2	2	2	2	2
GCA_045025095.1	1	0	2	2	2	2	2
GCA_015496515.1	1	0	2	2	2	2	2
GCA_042706315.1	1	0	2	2	2	2	2
GCA_045025165.1	1	0	2	2	2	2	2
GCA_015496455.1	1	0	2	2	2	2	2
GCA_015496375.1	1	0	2	2	2	2	2
GCA_045025135.1	1	0	2	2	2	2	2
GCA_045025115.1	1	0	2	2	2	2	2
GCA_045024855.1	1	0	2	2	2	2	2
GCA_045024775.1	1	0	2	2	2	2	2
GCA_015496275.1	1	0	2	2	2	2	2
GCA_042721955.1	1	0	2	2	2	2	2
GCA_042700125.1	1	0	2	2	2	2	2
GCA_045024655.1	1	0	2	2	2	2	2
GCA_045024615.1	1	0	2	2	2	2	2
GCA_045024635.1	1	0	2	2	2	2	2
GCA_045024595.1	1	0	2	2	2	2	2
GCA_045024575.1	1	0	2	2	2	2	2
GCA_045024535.1	1	0	2	2	2	2	2
GCA_042700085.1	1	0	2	2	2	2	2
GCA_045024955.1	1	0	2	2	2	2	2
GCA_045024895.1	1	0	2	2	2	2	2
GCA_045024875.1	1	0	2	2	2	2	2
GCA_045024375.1	1	0	2	2	2	2	2
GCA_045024395.1	1	0	2	2	2	2	2
GCA_045024355.1	1	0	2	2	2	2	2
GCA_045024335.1	1	0	2	2	2	2	2
GCA_015496095.1	1	0	2	2	2	2	2
GCA_042707735.1	1	0	2	2	2	2	2
GCA_045024315.1	1	0	2	2	2	2	2
GCA_015496075.1	1	0	2	2	2	2	2
GCA_045024175.1	1	0	2	2	2	2	2
GCA_045024215.1	1	0	2	2	2	2	2
GCA_045024155.1	1	0	2	2	2	2	2
GCA_045024195.1	1	0	2	2	2	2	2
GCA_015495535.1	1	0	2	2	2	2	2
GCA_045024095.1	1	0	2	2	2	2	2
GCA_045024135.1	1	0	2	2	2	2	2
GCA_042700025.1	1	0	2	2	2	2	2
GCA_045024075.1	1	0	2	2	2	2	2
GCA_045024015.1	1	0	2	2	2	2	2
GCA_045023915.1	1	0	2	2	2	2	2
GCA_015495395.1	1	0	2	2	2	2	2
GCA_015495335.1	1	0	2	2	2	2	2
GCA_045023715.1	1	0	2	2	2	2	2
GCA_042699105.1	1	0	2	2	2	2	2
GCA_042699975.1	1	0	2	2	2	2	2
GCA_045023615.1	1	0	2	2	2	2	2
GCA_042699955.1	1	0	2	2	2	2	2
GCA_045023595.1	1	0	2	2	2	2	2
GCA_042714235.1	1	0	2	2	2	2	2
GCA_045023635.1	1	0	2	2	2	2	2
GCA_045023575.1	1	0	2	2	2	2	2
GCA_045023655.1	1	0	2	2	2	2	2
GCA_045023795.1	1	0	2	2	2	2	2
GCA_045023535.1	1	0	2	2	2	2	2
GCA_045023495.1	1	0	2	2	2	2	2
GCA_045023475.1	1	0	2	2	2	2	2
GCA_015495355.1	1	0	2	2	2	2	2
GCA_042705675.1	1	0	2	2	2	2	2
GCA_045023455.1	1	0	2	2	2	2	2
GCA_045023415.1	1	0	2	2	2	2	2
GCA_045023435.1	1	0	2	2	2	2	2
GCA_045023355.1	1	0	2	2	2	2	2
GCA_045023395.1	1	0	2	2	2	2	2
GCA_045023375.1	1	0	2	2	2	2	2
GCA_045023295.1	1	0	2	2	2	2	2
GCA_045023315.1	1	0	2	2	2	2	2
GCA_045023335.1	1	0	2	2	2	2	2
GCA_045023275.1	1	0	2	2	2	2	2
GCA_045023255.1	1	0	2	2	2	2	2
GCA_045023215.1	1	0	2	2	2	2	2
GCA_042699935.1	1	0	2	2	2	2	2
GCA_045023135.1	1	0	2	2	2	2	2
GCA_045023675.1	1	0	2	2	2	2	2
GCA_042705755.1	1	0	2	2	2	2	2
GCA_042707595.1	1	0	2	2	2	2	2
GCA_003020685.1	1	1	2	2	2	0	2
GCA_003937635.1	1	1	1	2	1	1	2
GCA_003938375.1	1	1	1	2	1	1	2
GCA_003940205.1	1	1	1	2	0	0	2
GCA_003938135.1	1	1	0	2	1	1	2
