	tobramycin	ciprofloxacin	meropenem	ceftazidime	amikacin	gentamicin	imipenem	levofloxacin	cefepime	colistin	ceftolozane_tazobactam	piperacillin_tazobactam	ceftazidime_avibactam	aztreonam
GCA_003968935.1	0	1	0	0	0	0	0	0	0	2	2	1	2	1
GCA_003977895.1	0	1	0	0	0	0	0	1	0	2	2	0	2	1
GCA_003969535.1	0	1	1	1	0	0	0	1	1	2	2	1	2	1
GCA_003968565.1	0	1	0	0	0	1	1	1	0	2	2	0	2	0
GCA_003968895.1	0	1	1	0	0	0	1	1	1	2	2	1	2	1
GCA_003968325.1	0	0	0	0	0	0	0	0	0	2	2	0	2	0
GCA_003968305.1	0	1	1	1	0	1	0	1	1	2	2	1	2	1
GCA_003968535.1	0	1	1	1	0	0	1	1	1	2	2	1	2	0
GCA_003968275.1	0	0	1	0	0	0	1	0	0	2	2	0	2	0
GCA_003968235.1	0	1	1	1	0	1	1	1	1	2	2	1	2	1
GCA_003968135.1	0	1	1	1	0	0	1	1	1	2	2	1	2	1
GCA_003968525.1	0	0	0	0	0	0	0	0	0	2	2	0	2	1
GCA_003968115.1	0	1	1	1	0	1	1	1	1	2	2	1	2	1
GCA_003968125.1	0	1	1	1	0	0	1	1	1	2	2	1	2	1
GCA_003968045.1	0	1	1	0	0	0	1	1	0	2	2	0	2	0
GCA_003968445.1	0	0	1	0	0	0	0	1	0	2	2	1	2	0
GCA_003968035.1	0	1	1	1	0	0	1	1	1	2	2	1	2	1
GCA_007566955.1	0	1	0	2	0	0	1	1	1	2	2	2	2	2
GCA_007567125.1	0	0	0	2	0	1	0	0	1	2	2	2	2	2
GCA_019915465.1	0	2	0	2	0	0	1	2	2	2	2	2	2	2
GCA_019915445.1	0	2	0	2	0	0	1	2	2	2	2	2	2	2
GCA_019915485.1	0	2	0	2	0	0	0	2	2	2	2	2	2	2
GCA_024717075.1	0	1	2	1	2	0	1	1	0	2	2	1	2	2
GCA_024734815.1	0	2	1	2	0	0	2	1	1	2	2	2	2	2
GCA_024734795.1	0	2	1	2	1	0	2	1	1	2	2	2	2	2
GCA_029635925.2	0	0	0	0	0	0	2	0	0	2	2	0	2	2
GCA_029636025.2	0	0	0	1	0	0	2	0	0	2	2	0	2	2
GCA_032329515.2	0	0	0	0	0	0	2	0	0	2	2	0	2	2
GCA_037104395.1	0	1	1	1	0	2	1	1	1	0	2	1	0	1
GCA_037104405.1	0	1	1	1	0	2	1	1	1	0	2	1	0	1
GCA_037104525.1	0	1	1	1	0	2	1	1	1	0	2	1	0	1
GCA_038080875.1	0	0	0	0	2	2	2	0	0	2	2	0	2	2
GCA_038080835.1	0	0	0	0	2	2	2	0	0	2	2	0	2	2
GCA_038080895.1	0	0	0	0	2	2	2	0	0	2	2	0	2	2
GCA_038080935.1	0	0	1	0	2	2	2	0	0	2	2	0	2	2
GCA_032743355.1	2	1	2	2	2	2	1	2	2	2	2	2	2	2
GCA_032764695.1	2	1	2	2	2	2	1	2	2	2	2	2	2	2
