	cefotaxime	ampicillin	cefuroxime	gentamicin	tobramycin	trimethoprim	ciprofloxacin	amoxicillin_clavulanic_acid	amikacin	ampicillin_sulbactam	ceftazidime	ertapenem	cefoxitin	imipenem	levofloxacin	meropenem	cefazolin	cefepime	pentizidone	tetracycline	azithromycin	chloramphenicol	ceftriaxone	nalidixic_acid	trimethoprim_sulfamethoxazole	aztreonam	doxycycline	moxifloxacin	piperacillin_tazobactam	streptomycin	sulfisoxazole	ceftiofur	kanamycin	ceftazidime_clavulanic_acid	cefpodoxime	piperacillin	colistin	sulfamethoxazole	nitrofurantoin	cefotaxime_clavulanic_acid	norfloxacin
GCA_013077285.1	1	1	1	0	0	0	0	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013077425.1	1	1	1	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013077345.1	1	1	1	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013077305.1	1	1	1	1	1	1	0	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013077245.1	1	1	1	0	0	0	1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013078225.1	1	1	1	0	0	1	1	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013077265.1	1	1	1	1	1	1	0	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013077315.1	1	1	1	0	0	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013077205.1	1	1	1	0	0	0	0	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013077225.1	1	1	1	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013077925.1	1	1	1	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
