	amikacin	ceftazidime	ciprofloxacin	gentamicin	imipenem	meropenem	tetracycline	tobramycin	ceftriaxone	cefepime	levofloxacin	minocycline	ampicillin_sulbactam	doripenem	trimethoprim_sulfamethoxazole	piperacillin_tazobactam
GCA_016530155.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	0	2
GCA_016528325.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016527955.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016527885.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016527745.2	1	1	1	1	0	2	1	1	1	2	1	2	1	2	1	2
GCA_016527675.2	1	1	1	1	0	2	0	1	1	2	1	2	1	2	1	2
GCA_016527195.2	1	1	1	1	0	0	1	1	1	2	1	2	1	2	1	2
GCA_016526445.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016526335.2	1	1	1	1	0	2	0	1	1	2	0	2	1	2	1	2
GCA_016526225.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016526265.2	1	1	1	1	0	0	1	1	1	2	1	2	1	2	1	2
GCA_016526075.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016700475.2	1	1	1	1	0	2	0	1	1	2	0	2	1	0	1	2
GCA_016525775.2	1	1	1	1	0	0	1	1	1	2	1	2	1	2	1	2
GCA_016525575.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016525415.2	1	1	1	1	0	0	1	1	1	2	1	2	0	2	1	2
GCA_016525095.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016524755.2	1	1	1	1	0	2	1	0	1	2	1	2	1	2	1	2
GCA_016524075.2	1	1	1	1	0	2	0	1	1	2	0	2	1	2	1	2
GCA_016523895.2	1	1	1	1	0	2	1	0	1	2	1	2	1	2	1	2
GCA_016523875.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016523855.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	0	2
GCA_016523505.2	1	1	1	1	0	2	1	0	1	2	1	2	1	2	1	2
GCA_016523395.2	1	1	1	1	0	0	1	1	1	2	1	2	0	2	1	2
GCA_016523405.2	1	1	1	1	0	0	1	1	1	2	1	2	1	0	1	2
GCA_016522935.2	1	1	1	1	0	2	1	1	1	2	1	2	1	0	1	2
GCA_016522955.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016522785.2	1	1	1	1	0	2	1	1	1	2	1	2	1	0	1	2
GCA_016522625.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016522475.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016522155.2	1	1	1	1	0	0	1	1	1	2	1	2	0	2	1	2
GCA_016521835.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016521445.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016520895.2	1	1	1	1	0	2	1	1	1	2	1	2	1	0	1	2
GCA_016520755.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016520795.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016520655.2	1	1	1	1	0	2	1	1	1	2	1	2	1	2	1	2
GCA_016520665.2	1	1	1	1	0	2	1	1	1	2	1	2	1	2	1	2
GCA_016520545.2	1	1	1	1	0	0	1	0	1	2	1	2	0	0	1	2
GCA_016520255.2	1	1	1	1	0	2	1	1	1	2	1	2	1	0	1	2
GCA_016519925.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016519525.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016519515.2	1	1	1	1	1	1	1	1	1	2	1	2	0	2	0	2
GCA_000241685.2	1	1	1	1	1	1	2	1	2	2	2	2	2	2	2	2
GCA_000809865.3	1	0	1	1	2	1	1	1	2	0	1	2	1	2	1	2
GCA_000809905.3	1	0	1	1	2	1	1	1	2	1	1	2	1	2	1	2
GCA_000809965.3	1	1	1	1	1	1	1	1	2	1	1	2	0	2	1	1
GCA_000811325.3	1	1	1	1	0	1	2	1	2	1	2	2	0	2	0	2
GCA_000809705.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1
GCA_000809725.3	1	1	1	1	2	1	1	1	2	1	1	2	1	2	1	2
GCA_000809745.3	1	1	1	1	2	1	1	1	2	1	1	2	1	2	1	2
GCA_000809785.3	1	1	1	1	2	1	1	1	2	1	1	2	1	2	1	2
GCA_000810645.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000810665.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000810725.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000810685.3	1	1	1	1	1	1	1	0	2	1	1	2	1	2	1	2
GCA_000810765.3	1	1	1	1	1	1	1	0	2	1	1	2	1	2	1	2
GCA_000810065.3	1	1	1	1	2	1	1	1	2	1	1	2	1	2	1	2
GCA_000809505.3	1	1	1	1	0	0	2	1	2	1	2	2	0	2	0	2
GCA_000811005.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1
GCA_000811015.3	1	1	1	1	1	1	1	1	2	1	1	2	0	2	1	1
GCA_000810585.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000811165.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000809285.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000811905.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1
GCA_000810915.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1
GCA_000810945.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1
GCA_000811565.3	1	1	1	1	2	1	1	1	2	1	1	2	1	2	1	2
GCA_000811765.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000811745.3	1	1	1	1	2	1	1	1	2	1	1	2	1	2	1	2
GCA_000810525.3	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000809465.3	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000811485.3	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000811505.3	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000810545.3	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000810565.3	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000809205.3	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000809525.3	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000809545.3	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000809585.3	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000809665.3	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000811105.3	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000811185.3	1	1	1	1	1	1	2	1	2	0	2	2	1	2	1	2
GCA_000810425.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000810445.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000809765.3	1	1	1	1	2	1	1	1	2	1	1	2	1	2	1	2
